Id,KnownVulnerableSamples_SHA1,Description,Category,Detection,KnownVulnerableSamples_Publisher,KnownVulnerableSamples_Company,KnownVulnerableSamples_Description,Verified
47724cc1-bf75-4ab7-a47a-355a9aa30de1,c6bd965300f07012d1b651a9b8776028c45b149a,,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/552f70374715e70c4ade591d65177be2539ec60f751223680dfaccb9e0be0ed9.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",,,SMI Driver,True
4f93e19c-4600-4e2e-943f-a986875fd7d2,,,vulnerable driver,[],,,,False
3ac0eda2-a844-4a9d-9cfa-c25a9e05d678,2c5ff272bd345962ed41ab8869aef41da0dfe697,,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/5f5e5f1c93d961985624768b7c676d488c7c7c1d4c043f6fc1ea1904fefb75be.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",,AsusTek Computer Inc.,Default BIOS Flash Driver,False
a7bba474-815f-49be-bddc-4d76a64c866c,"d7e8aef8c8feb87ce722c0b9abf34a7e6bab6eb4, 5e6ddd2b39a3de0016385cbd7aa50e49451e376d, 976777d39d73034df6b113dfce1aa6e1d00ffcfd, 9c6749fc6c1127f8788bff70e0ce9062959637c9, 53acd4d9e7ba0b1056cf52af0d191f226eddf312, 3abb9d0a9d600200ae19c706e570465ef0a15643, 27eab595ec403580236e04101172247c4f5d5426, 78b9481607ca6f3a80b4515c432ddfe6550b18a8, 414cd15d6c991d19fb5be02e3b9fb0e6c5ce731c, d9c09dd725bc7bc3c19b4db37866015817a516ef, 9c256edd10823ca76c0443a330e523027b70522d, 35829e096a15e559fcbabf3441d99e580ca3b26e, b8de3a1aeeda9deea43e3f768071125851c85bd0, 054a50293c7b4eea064c91ef59cf120d8100f237, d94f2fb3198e14bfe69b44fb9f00f2551f7248b2, 01a578a3a39697c4de8e3dab04dba55a4c35163e, 14bf0eaa90e012169745b3e30c281a327751e316, f50c6b84dfb8f2d53ba3bce000a55f0a486c0e79, 6100eb82a25d64a7a7702e94c2b21333bc15bd08, bf87e32a651bdfd9b9244a8cf24fca0e459eb614, 28b1c0b91eb6afd2d26b239c9f93beb053867a1a, 879fcc6795cebe67718388228e715c470de87dca, 15df139494d2c40a645fb010908551185c27f3c5, 1f7501e01d84a2297c85cb39880ec4e40ac3fe8a, 152b6bb9ffd2ffec00cc46f5c6e29362d0e66e67, 5f8356ffa8201f338dd2ea979eb47881a6db9f03, a7bd05de737f8ea57857f1e0845a25677df01872, cce9b82f01ec68f450f5fe4312f40d929c6a506e, e35a2b009d54e1a0b231d8a276251f64231b66a3, 37364cb5f5cefd68e5eca56f95c0ab4aff43afcc, d62fa51e520022483bdc5847141658de689c0c29, 93aa3bb934b74160446df3a47fa085fd7f3a6be9, ec4cc6de4c779bb1ca1dd32ee3a03f7e8d633a9b, 35f1ba60ba0da8512a0b1b15ee8e30fe240d77cd, 3805e4e08ad342d224973ecdade8b00c40ed31be, 65d8a7c2e867b22d1c14592b020c548dd0665646, c8d87f3cd34c572870e63a696cf771580e6ea81b, c4d7fb9db3c3459f7e8c0e3d48c95c7c9c4cff60, d34a7c497c603f3f7fcad546dc4097c2da17c430, 1fd7f881ea4a1dbb5c9aeb9e7ad659a85421745b, 0b8b83f245d94107cb802a285e6529161d9a834d, c969f1f73922fd95db1992a5b552fbc488366a40",,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/09bedbf7a41e0f8dabe4f41d331db58373ce15b2e9204540873a1884f38bdde1.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/101402d4f5d1ae413ded499c78a5fcbbc7e3bae9b000d64c1dd64e3c48c37558.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/131d5490ceb9a5b2324d8e927fea5becfc633015661de2f4c2f2375a3a3b64c6.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/1ddfe4756f5db9fb319d6c6da9c41c588a729d9e7817190b027b38e9c076d219.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/1e8b0c1966e566a523d652e00f7727d8b0663f1dfdce3b9a09b9adfaef48d8ee.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/2bbe65cbec3bb069e92233924f7ee1f95ffa16173fceb932c34f68d862781250.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/30706f110725199e338e9cc1c940d9a644d19a14f0eb8847712cba4cacda67ab.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/3124b0411b8077605db2a9b7909d8240e0d554496600e2706e531c93c931e1b5.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/38fa0c663c8689048726666f1c5e019feaa9da8278f1df6ff62da33961891d2a.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/39cfde7d401efce4f550e0a9461f5fc4d71fa07235e1336e4f0b4882bd76550e.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/3d9e83b189fcf5c3541c62d1f54a0da0a4e5b62c3243d2989afc46644056c8e3.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/3f2fda9a7a9c57b7138687bbce49a2e156d6095dddabb3454ea09737e02c3fa5.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/47f0cdaa2359a63ad1389ef4a635f1f6eee1f63bdf6ef177f114bdcdadc2e005.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/50d5eaa168c077ce5b7f15b3f2c43bd2b86b07b1e926c1b332f8cb13bd2e0793.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/56a3c9ac137d862a85b4004f043d46542a1b61c6acb438098a9640469e2d80e7.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/591bd5e92dfa0117b3daa29750e73e2db25baa717c31217539d30ffb1f7f3a52.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/5d530e111400785d183057113d70623e17af32931668ab7c7fc826f0fd4f91a3.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/6f1ff29e2e710f6d064dc74e8e011331d807c32cc2a622cbe507fd4b4d43f8f4.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/79e2d37632c417138970b4feba91b7e10c2ea251c5efe3d1fc6fa0190f176b57.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/85866e8c25d82c1ec91d7a8076c7d073cccf421cf57d9c83d80d63943a4edd94.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/89b0017bc30cc026e32b758c66a1af88bd54c6a78e11ec2908ff854e00ac46be.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/9254f012009d55f555418ff85f7d93b184ab7cb0e37aecdfdab62cfe94dea96b.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/9529efb1837b1005e5e8f477773752078e0a46500c748bc30c9b5084d04082e6.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/984a77e5424c6d099051441005f2938ae92b31b5ad8f6521c6b001932862add7.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/98b734dda78c16ebcaa4afeb31007926542b63b2f163b2f733fa0d00dbb344d8.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/99f4994a0e5bd1bf6e3f637d3225c69ff4cd620557e23637533e7f18d7d6cba1.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/9c10e2ec4f9ef591415f9a784b93dc9c9cdafa7c69602c0dc860c5b62222e449.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/a961f5939088238d76757669a9a81905e33f247c9c635b908daac146ae063499.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/a9706e320179993dade519a83061477ace195daa1b788662825484813001f526.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/b7a20b5f15e1871b392782c46ebcc897929443d82073ee4dcb3874b6a5976b5d.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/cc586254e9e89e88334adee44e332166119307e79c2f18f6c2ab90ce8ba7fc9b.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/cd4a249c3ef65af285d0f8f30a8a96e83688486aab515836318a2559757a89bb.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/cf4b5fa853ce809f1924df3a3ae3c4e191878c4ea5248d8785dc7e51807a512b.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/d0bd1ae72aeb5f3eabf1531a635f990e5eaae7fdd560342f915f723766c80889.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/d8b58f6a89a7618558e37afc360cd772b6731e3ba367f8d58734ecee2244a530.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/d92eab70bcece4432258c9c9a914483a2267f6ab5ce2630048d3a99e8cb1b482.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/e005e8d183e853a27ad3bb56f25489f369c11b0d47e3d4095aad9291b3343bf1.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/e68d453d333854787f8470c8baef3e0d082f26df5aa19c0493898bcf3401e39a.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/e83908eba2501a00ef9e74e7d1c8b4ff1279f1cd6051707fd51824f87e4378fa.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/ef86c4e5ee1dbc4f81cd864e8cd2f4a2a85ee4475b9a9ab698a4ae1cc71fbeb0.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/f088b2ba27dacd5c28f8ee428f1350dca4bc7c6606309c287c801b2e1da1a53d.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/fd8669794c67b396c12fc5f08e9c004fdf851a82faf302846878173e4fbecb03.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI","NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib_X64, NTIOLib For MSISimple_OC, MSI ComCenService Driver, NTIOLib for MSIFrequency_CC, NTIOLib, NTIOLib, NTIOLib For NTIOLib_ECO, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib For MSIRatio_CC, NTIOLib_X64, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib for MSIDDR_CC, NTIOLib, NTIOLib, NTIOLib for DebugLED, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib for MSIClock_CC, NTIOLib, NTIOLib, NTIOLib, NTIOLib, NTIOLib For MSISimple_OC, NTIOLib for MSICPU_CC, NTIOLib, NTIOLib, NTIOLib",True
69b924ab-2e4a-4eae-8091-4151c238136e,,,vulnerable driver,[],,,,False
47fe1aaf-02cd-4a41-8bf5-0047015a2a6e,d7f7594ff084201c0d9fa2f4ef1626635b67bce5,,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/1963d5a0e512b72353953aadbe694f73a9a576f0241a988378fa40bf574eda52.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",,"Super Micro Computer, Inc.",phymem Application,True
10b1fc3d-c444-4885-8ca9-4b5891885507,"1045c63eccb54c8aee9fd83ffe48306dc7fe272c, eb0d45aa6f537f5b2f90f3ad99013606eafcd162, eb0d45aa6f537f5b2f90f3ad99013606eafcd162",,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/38bb9751a3a1f072d518afe6921a66ee6d5cf6d25bc50af49e1925f20d75d4d7.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/ad40e6d0f77c0e579fb87c5106bf6de3d1a9f30ee2fbf8c9c011f377fa05f173.yara'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/ad40e6d0f77c0e579fb87c5106bf6de3d1a9f30ee2fbf8c9c011f377fa05f173.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",,"ATI Technologies Inc., ATI Technologies Inc., ATI Technologies Inc.","ATI Diagnostics Hardware Abstraction Sys, ATI Diagnostics Hardware Abstraction Sys, ATI Diagnostics Hardware Abstraction Sys",True
7437388f-821e-421f-a3c1-62ce2c725a6a,,,vulnerable driver,[],,,,False
31797996-6973-402d-a4a0-d01ce51e02c0,2d503a2457a787014a1fdd48a2ece2e6cbe98ea7,,vulnerable driver,"[{'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/2a652de6b680d5ad92376ad323021850dab2c653abf06edf26120f7714b8e08a.yara'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}, {'type': 'yara_signature', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/yara/yara-rules_vuln_drivers_strict_renamed.yar'}, {'type': 'sigma_hash', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers.yml'}, {'type': 'sigma_names', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sigma/driver_load_win_vuln_drivers_names.yml'}, {'type': 'sysmon_hash_detect', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes.xml'}, {'type': 'sysmon_hash_block', 'value': 'https://github.com/magicsword-io/LOLDrivers/blob/main/detections/sysmon/sysmon_config_vulnerable_hashes_block.xml'}]",ASROCK Incorporation,RW-Everything,RW-Everything Read & Write Driver,True
56b320b3-5b12-4ec6-81e2-5a16c56c7478,7f5e6f6518f4997fc6f9a17f8f411c5147c7c14d,,vulnerable drivers,"[{'type': '', 'value': ''}]",,,,True
